Time [s],Channel 0
4.047681563,1
4.048230187,0
4.048836937,1
4.050534563,0
4.051114875,1
4.051664875,0
4.052270250,1
4.053934687,0
4.054537250,1
4.056210562,0
4.056815250,1
4.057362063,0
4.057948750,1
4.058490250,0
4.059104188,1
4.060772625,0
4.061382062,1
4.063058125,0
4.063660063,1
4.064200125,0
4.064815500,1
4.066475687,0
4.067082563,1
4.067637250,0
4.068237812,1
4.068788875,0
4.069371500,1
4.069922563,0
4.070537750,1
4.071079437,0
4.071693000,1
4.073385125,0
4.073970688,1
4.075633437,0
4.076248563,1
4.077910500,0
4.078526437,1
4.079066125,0
4.079681938,1
4.081344125,0
4.081960000,1
4.083618687,0
4.084226938,1
4.085904000,0
4.086504813,1
4.088171875,0
4.088782688,1
4.089327687,0
4.089938062,1
4.090485062,0
4.091093437,1
5.023670875,0
5.032605875,1
5.037115875,0
5.037684687,1
5.038236688,0
5.038818250,1
5.040486000,0
5.041074250,1
5.041629813,0
5.042207688,1
5.042757563,0
5.043363000,1
5.045036562,0
5.045640937,1
5.047306062,0
5.047919063,1
5.048460875,0
5.049074437,1
5.049622187,0
5.050229750,1
5.051897313,0
5.052507688,1
5.053052125,0
5.053608500,1
5.055307938,0
5.055919063,1
5.057585625,0
5.058196937,1
5.058736000,0
5.059341437,1
5.059894437,0
5.060496687,1
5.062167000,0
5.062774562,1
5.064446500,0
5.065052500,1
5.065602187,0
5.066208000,1
5.067877812,0
5.068485750,1
5.069038062,0
5.069641062,1
5.070193188,0
5.070763813,1
5.071316250,0
5.071930062,1
5.072474312,0
5.073074437,1
5.074749750,0
5.075352375,1
5.077020313,0
5.077619250,1
5.079294625,0
5.079897188,1
5.080450812,0
5.081085250,1
5.082705062,0
5.083363250,1
5.084970125,0
5.085641250,1
5.087252937,0
5.087908250,1
5.089528438,0
5.090186250,1
5.090677625,0
5.091319750,1
5.091855875,0
5.092409563,1
6.026058875,0
6.035028375,1
6.039522188,0
6.040096187,1
6.040650937,0
6.041229625,1
6.042906750,0
6.043507500,1
6.044087375,0
6.044673687,1
6.045218750,0
6.045818125,1
6.047489188,0
6.048096000,1
6.049765875,0
6.050373750,1
6.050926187,0
6.051529125,1
6.052082813,0
6.052684375,1
6.054357375,0
6.054962188,1
6.055511187,0
6.056063062,1
6.057773688,0
6.058373562,1
6.060050187,0
6.060662250,1
6.061206438,0
6.061817500,1
6.062357875,0
6.062951000,1
6.064618562,0
6.065217875,1
6.066897625,0
6.067495750,1
6.068043375,0
6.068629250,1
6.070293312,0
6.070907250,1
6.071451438,0
6.072051688,1
6.072606688,0
6.073185125,1
6.073729250,0
6.074340500,1
6.074886187,0
6.075495938,1
6.077165188,0
6.077773625,1
6.079434750,0
6.080040688,1
6.081716437,0
6.082318750,1
6.082870813,0
6.083452375,1
6.085133563,0
6.085719375,1
6.087394125,0
6.087997312,1
6.089689188,0
6.090275125,1
6.091944250,0
6.092552937,1
6.093100125,0
6.093686437,1
6.094237438,0
6.094841813,1
7.027481375,0
7.036412813,1
7.040924500,0
7.041502438,1
7.042045875,0
7.042625000,1
7.044295188,0
7.044902813,1
7.045448312,0
7.046058125,1
7.046607500,0
7.047213313,1
7.048883625,0
7.049491188,1
7.051156000,0
7.051758187,1
7.052307750,0
7.052859062,1
7.053436250,0
7.054047125,1
7.055737625,0
7.056324875,1
7.056874187,0
7.057480250,1
7.059146062,0
7.059757937,1
7.061422562,0
7.062035938,1
7.062583062,0
7.063191250,1
7.063739313,0
7.064292062,1
7.065982875,0
7.066591750,1
7.068273813,0
7.068869750,1
7.069419750,0
7.070025125,1
7.071701688,0
7.072303062,1
7.072877938,0
7.073458500,1
7.074007375,0
7.074592188,1
7.075146250,0
7.075758313,1
7.076303375,0
7.076913438,1
7.078582313,0
7.079191188,1
7.080859063,0
7.081469000,1
7.083144500,0
7.083725125,1
7.084273500,0
7.084858625,1
7.086531938,0
7.087114813,1
7.088777125,0
7.089392562,1
7.091058875,0
7.091659563,1
7.093355563,0
7.093937438,1
7.094483000,0
7.095070875,1
7.095626812,0
7.096237063,1
8.477952000,1
